Name,Bottle Size,Original Price,Discounted Price,Img link
Dr. Reckeweg R59 Weight Loss,bottle of 22 ml Drop,₹270,₹238,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/sf2l0d6bsx1hr0thsrwh/allen-a82-premature-greying-of-hair-drop.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 4 bottles,₹796,₹557,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg R65 Psoriasis Drop,bottle of 22 ml Drop,₹270,₹232,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/cropped/j44fsr72ir4a7y1s0r7o/sbl-natrum-muriaticum-biochemic-tablet-6x.jpg"
Dr. Reckeweg R9 Cough Drop,bottle of 22 ml Drop,₹270,₹230,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/vhm2cgotfrppsbzstwwi/dr.-reckeweg-bio-combination-17-bc-17-tablet.jpg"
SBL Chelidonium Majus Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹129,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/cropped/rj6b507jvwrfxkgnau0o/sbl-natrum-muriaticum-dilution-30-ch.jpg"
Dr. Reckeweg R11 Rheumatism Drop,bottle of 22 ml Drop,₹270,₹235,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Calcarea Phosphorica Biochemic Tablet 6X,bottle of 25 gm Biochemic Tablet,₹110,₹95,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/bqiiojcggyny97zclab9/sbl-bio-combination-28-tablet.jpg"
SBL Nux Vomica Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹104,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/6bd32676-0bd0-441f-9674-7c36037304cf/allen-snorid-drop.jpeg"
SBL Prostonum Drop,bottle of 30 ml Drop,₹170,₹145,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/gd0199wspbihwsei56dt/sbl-mercurius-solubilis-dilution-30-ch.jpg"
SBL Avena Sativa Mother Tincture Q,bottle of 30 ml Mother Tincture,₹105,₹90,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Alfalfa Tonic with Ginseng,bottle of 180 ml Tonic,₹175,₹128,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/iov3isovdzniszn3b0i4/dr.-reckeweg-r17-glandular-enlargement-drop.png"
SBL Jaborandi Mother Tincture Q,bottle of 30 ml Mother Tincture,₹150,₹126,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/ozllpjygivzwhyg50rbw/sbl-acid-chryso-ointment.jpg"
Dr. Reckeweg R49 Sinus Drop,bottle of 22 ml Drop,₹270,₹235,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/dli4ue87hz983jkacetc/dr.-reckeweg-r70-neuralgia-drop.jpg"
Dr. Reckeweg Kali Phosphoricum Biochemic Tablet 6X,bottle of 20 gm Biochemic Tablet,₹185,₹159,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Allen A84 Lipoma Drop,bottle of 30 ml Drop,₹170,₹150,"https://onemg.gumlet.io/images/f_auto,q_auto,h_150,w_150,c_fit/cropped/o2tmjlz9mixzb4m9bdnc/adel-3-apo-hepat-drop.jpg"
SBL Arnica Montana Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹86,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/cropped/fnieqkfxj3jkeq8gnz1i/sbl-gelsemium-sempervirens-dilution-200-ch.jpg"
SBL Bio-Combination 6 Tablet,bottle of 25 gm Biocombination Tablet,₹110,₹94,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/zo7tz5hunfiwhhtdstho/sbl-abroma-augusta-mother-tincture-q.jpg"
Dr. Reckeweg Testes Siccati Trituration Tablet 3X,bottle of 20 gm Trituration Tablet,₹240,₹206,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Wheezal Mel-X Melasma Tablet,bottle of 75 tablets,₹215,₹195,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/6e768ca739e74072a4079d77af6096c4/dr.-reckeweg-crataegus-mother-tincture-q.jpg"
SBL Hydrastis Canadensis Mother Tincture Q,bottle of 30 ml Mother Tincture,₹425,₹410,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/cropped/lbuo6qfmntjgt0odwdi6/dr.-reckeweg-r32-excessive-perspiration-drop.jpg"
SBL Bryonia Alba Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹94,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/cropped/mlcokscz9f2p2xudfrvk/dr.-reckeweg-urtica-urens-mother-tincture-q.jpg"
SBL Thuja Occidentalis Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹100,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Dibonil Drop,bottle of 30 ml Drop,₹135,₹116,"https://onemg.gumlet.io/images/h_150,f_auto,c_fit,w_150,q_auto/dgedqtfnsj1bxxyb5nr1/dr.-reckeweg-r88-anti-viral-drop.jpg"
Hapdco Aqui Plus Cream,tube of 25 gm Cream,₹110,₹107,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/858d1b0347f8400e88c59415e14c65ef/medisynth-wartex-forte-drop.jpg"
Dr. Reckeweg Rhus Tox Dilution 200 CH,bottle of 11 ml Dilution,₹160,₹138,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/iousjlx3coqi2jfrqskj/sbl-lecithinum-trituration-tablet-3x.jpg"
Dr. Reckeweg R27 Renal Calculi Drop,bottle of 22 ml Drop,₹270,₹237,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Crataegus Oxyacantha Q Mother Tincture,bottle of 30 ml Mother Tincture,₹105,₹90,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/x9c4hcrfqunnalvphfza/dr.-reckeweg-agnus-castus-dilution-30-ch.jpg"
SBL Damiagra Forte Drop,bottle of 30 ml Drop,₹400,₹384,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/vhvc3prhwjdlwlgulgmr/sbl-silk-n-stay-antiseptic-calendula-soap.jpg"
SBL Belladonna Dilution 30 CH,bottle of 30 ml Dilution,₹100,₹82,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/cropped/ingp19uayu4mkhuyjgkh/dr.-reckeweg-biochemic-combination-25-bc-25-tablet.png"
Lord's Ylo Tablet,bottle of 1000 tablets,₹1200,₹1032,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Wheezal Hekla Lava Tooth Powder,bottle of 100 gm Powder,₹120,₹103,"https://onemg.gumlet.io/images/q_auto,c_fit,h_150,f_auto,w_150/l4qoyyv1kew2ngb4lgdn/dr.-reckeweg-magnesia-phosphoricum-biochemic-tablet-6x.jpg"
SBL Rhus Toxicodendron Dilution 200 CH,bottle of 30 ml Dilution,₹115,₹104,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cmgchvc0k0h1ksdpmqna/sbl-argentum-nitricum-dilution-30-ch.jpg"
Dr. Reckeweg R84 Inhalent Allergy Drop,bottle of 30 ml Drop,₹310,₹308,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/yp6ibmbtlnkpgsqpqfy1/sbl-dibonil-tablet.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),box of 1 Bottle,₹199,₹139,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/wxljp5wozcge8mqrihst/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
Dr. Reckeweg Nux Vomica Dilution 30 CH,bottle of 11 ml Dilution,₹135,₹116,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/fiosvq6qv8szduszt1if/bakson-s-astha-aid-tablet.jpg"
Dr. Reckeweg R85 High Blood Pressure Drop,bottle of 30 ml Drop,₹310,₹270,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/shgp2bcahtp0kepvzeg4/sbl-kali-phosphoricum-biochemic-tablet-12x.jpg"
SBL Arnica Montana Mother Tincture Q,bottle of 30 ml Mother Tincture,₹240,₹206,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/cropped/dhjivthghfycfdmke2qk/sbl-wiesbaden-dilution-30-ch.jpg"
Dr Batra's Homeo+ Immunity Medicine Oral Drops (30ml Each),combo pack of 3 bottles,₹597,₹418,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/frjgnbamyqfg0btptuk8/dr-batra-s-homeo-immunity-medicine-oral-drops-30ml-each.jpg"
SBL Five Phos Tablet 6X,bottle of 25 gm Tablet,₹110,₹98,"https://onemg.gumlet.io/images/h_150,c_fit,w_150,q_auto,f_auto/yh9x8jue1phqhrn52au3/bakson-s-compound-46-slim-tablet.jpg"
Wheezal Hekla Lava Dental Cream,tube of 100 gm Cream,₹80,₹75,"https://onemg.gumlet.io/images/f_auto,h_150,w_150,q_auto,c_fit/rneji0bz2ryp2ebnqdgu/sbl-andrographis-paniculata-mother-tincture-q.jpg"
